sample,fastq_1,fastq_2,genome
Sample_KR-gNT-DMSO-R1,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gNT-DMSO-R1/KR-gNT-DMSO-R1_S10_R1_001.fastq.gz,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gNT-DMSO-R1/KR-gNT-DMSO-R1_S10_R2_001.fastq.gz,
Sample_KR-gNT-DMSO-R2,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gNT-DMSO-R2/KR-gNT-DMSO-R2_S2_R1_001.fastq.gz,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gNT-DMSO-R2/KR-gNT-DMSO-R2_S2_R2_001.fastq.gz,
Sample_KR-gNT-DNMT1i-R1,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gNT-DNMT1i-R1/KR-gNT-DNMT1i-R1_S14_R1_001.fastq.gz,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gNT-DNMT1i-R1/KR-gNT-DNMT1i-R1_S14_R2_001.fastq.gz,
Sample_KR-gNT-DNMT1i-R2,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gNT-DNMT1i-R2/KR-gNT-DNMT1i-R2_S6_R1_001.fastq.gz,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gNT-DNMT1i-R2/KR-gNT-DNMT1i-R2_S6_R2_001.fastq.gz,
Sample_KR-gRNF4-DMSO-R1,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gRNF4-DMSO-R1/KR-gRNF4-DMSO-R1_S11_R1_001.fastq.gz,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gRNF4-DMSO-R1/KR-gRNF4-DMSO-R1_S11_R2_001.fastq.gz,
Sample_KR-gRNF4-DMSO-R2,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gRNF4-DMSO-R2/KR-gRNF4-DMSO-R2_S3_R1_001.fastq.gz,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gRNF4-DMSO-R2/KR-gRNF4-DMSO-R2_S3_R2_001.fastq.gz,
Sample_KR-gRNF4-DNMT1i-R1,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gRNF4-DNMT1i-R1/KR-gRNF4-DNMT1i-R1_S15_R1_001.fastq.gz,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gRNF4-DNMT1i-R1/KR-gRNF4-DNMT1i-R1_S15_R2_001.fastq.gz,
Sample_KR-gRNF4-DNMT1i-R2,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gRNF4-DNMT1i-R2/KR-gRNF4-DNMT1i-R2_S7_R1_001.fastq.gz,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_KR-gRNF4-DNMT1i-R2/KR-gRNF4-DNMT1i-R2_S7_R2_001.fastq.gz,
Sample_WT-gNT-DMSO-R1,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_WT-gNT-DMSO-R1/WT-gNT-DMSO-R1_S8_R1_001.fastq.gz,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_WT-gNT-DMSO-R1/WT-gNT-DMSO-R1_S8_R2_001.fastq.gz,
Sample_WT-gNT-DMSO-R2,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_WT-gNT-DMSO-R2/WT-gNT-DMSO-R2_S16_R1_001.fastq.gz,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_WT-gNT-DMSO-R2/WT-gNT-DMSO-R2_S16_R2_001.fastq.gz,
Sample_WT-gNT-DNMT1i-R1,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_WT-gNT-DNMT1i-R1/WT-gNT-DNMT1i-R1_S12_R1_001.fastq.gz,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_WT-gNT-DNMT1i-R1/WT-gNT-DNMT1i-R1_S12_R2_001.fastq.gz,
Sample_WT-gNT-DNMT1i-R2,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_WT-gNT-DNMT1i-R2/WT-gNT-DNMT1i-R2_S4_R1_001.fastq.gz,/pipeline/Runs/NextSeq/250417_VH01624_284_2227MVYNX/ProjectFolders/Project_Jesse-Balic/Sample_WT-gNT-DNMT1i-R2/WT-gNT-DNMT1i-R2_S4_R2_001.fastq.gz,
